date,sales
26-05-2024,324
27-05-2024,337
28-05-2024,343
29-05-2024,352
30-05-2024,361
31-05-2024,340
01-06-2024,308
02-06-2024,328
03-06-2024,354
04-06-2024,333
05-06-2024,371
06-06-2024,342
07-06-2024,343
08-06-2024,313
09-06-2024,301
10-06-2024,320
11-06-2024,361
12-06-2024,468
13-06-2024,340
14-06-2024,446
15-06-2024,301
16-06-2024,329
17-06-2024,328
18-06-2024,352
19-06-2024,367
20-06-2024,343
21-06-2024,333
22-06-2024,343
23-06-2024,324
24-06-2024,361
25-06-2024,347
26-06-2024,376
27-06-2024,379
28-06-2024,303
29-06-2024,318
30-06-2024,343
01-07-2024,347
02-07-2024,372
03-07-2024,361
04-07-2024,361
05-07-2024,340
06-07-2024,349
07-07-2024,340
08-07-2024,357
09-07-2024,362
10-07-2024,365
11-07-2024,355
12-07-2024,350
13-07-2024,328
14-07-2024,342
15-07-2024,385
16-07-2024,383
17-07-2024,369
18-07-2024,381
19-07-2024,340
20-07-2024,305
21-07-2024,325
22-07-2024,328
23-07-2024,366
24-07-2024,376
25-07-2024,390
26-07-2024,353
27-07-2024,334
28-07-2024,354
29-07-2024,325
30-07-2024,477
31-07-2024,389
01-08-2024,345
02-08-2024,367
03-08-2024,345
04-08-2024,338
05-08-2024,369
06-08-2024,410
07-08-2024,382
08-08-2024,373
09-08-2024,345
10-08-2024,329
11-08-2024,358
12-08-2024,349
13-08-2024,379
14-08-2024,374
15-08-2024,378
16-08-2024,359
17-08-2024,359
18-08-2024,340
19-08-2024,359
20-08-2024,365
21-08-2024,377
22-08-2024,379
23-08-2024,367
24-08-2024,332
25-08-2024,363
26-08-2024,386
27-08-2024,388
28-08-2024,414
29-08-2024,363
30-08-2024,339
31-08-2024,421
01-09-2024,374
02-09-2024,377
03-09-2024,382
04-09-2024,392
05-09-2024,360
06-09-2024,496
07-09-2024,351
08-09-2024,355
09-09-2024,380
10-09-2024,392
11-09-2024,393
12-09-2024,367
13-09-2024,369
14-09-2024,379
15-09-2024,375
16-09-2024,395
17-09-2024,379
18-09-2024,376
19-09-2024,379
20-09-2024,364
21-09-2024,369
22-09-2024,332
23-09-2024,396
24-09-2024,387
25-09-2024,387
26-09-2024,367
27-09-2024,341
28-09-2024,367
29-09-2024,360
30-09-2024,356
01-10-2024,372
02-10-2024,390
03-10-2024,410
04-10-2024,364
05-10-2024,334
06-10-2024,357
07-10-2024,373
08-10-2024,352
09-10-2024,396
10-10-2024,483
11-10-2024,380
12-10-2024,387
13-10-2024,380
14-10-2024,375
15-10-2024,378
16-10-2024,438
17-10-2024,489
18-10-2024,372
19-10-2024,360
20-10-2024,368
21-10-2024,379
22-10-2024,388
23-10-2024,393
24-10-2024,390
25-10-2024,365
26-10-2024,352
27-10-2024,368
28-10-2024,379
29-10-2024,421
30-10-2024,363
31-10-2024,409
01-11-2024,394
02-11-2024,333
03-11-2024,364
04-11-2024,379
05-11-2024,379
06-11-2024,393
07-11-2024,377
08-11-2024,403
09-11-2024,381
10-11-2024,390
11-11-2024,497
12-11-2024,386
13-11-2024,399
14-11-2024,403
15-11-2024,361
16-11-2024,379
17-11-2024,369
18-11-2024,483
19-11-2024,415
20-11-2024,415
21-11-2024,393
22-11-2024,398
23-11-2024,354
24-11-2024,384
25-11-2024,399
26-11-2024,402
27-11-2024,415
28-11-2024,381
29-11-2024,397
30-11-2024,369
01-12-2024,369
02-12-2024,408
03-12-2024,498
04-12-2024,391
05-12-2024,378
06-12-2024,394
07-12-2024,355
08-12-2024,405
09-12-2024,363
10-12-2024,436
11-12-2024,417
12-12-2024,402
13-12-2024,378
14-12-2024,382
15-12-2024,380
16-12-2024,413
17-12-2024,414
18-12-2024,418
19-12-2024,400
20-12-2024,388
21-12-2024,383
22-12-2024,357
23-12-2024,378
24-12-2024,425
25-12-2024,421
26-12-2024,405
27-12-2024,391
28-12-2024,385
29-12-2024,476
30-12-2024,388
